questions,answers
bạn mua với giá bao nhiêu vậy ?,mình mua với giá 4 triệu 5 bạn
có bảo hành gì không bạn?,bảo hành chính hãng 12 tháng nha bạn
có được khuyến mãi gì không bạn?,được giảm giá với freeship bạn
ship nhanh không bạn?,khoảng 2 ngày bạn
bạn gửi mình link bạn mua được không?,ok bạn
Khi bạn rảnh bạn thường làm gì ?,Mình thường làm bài tập
Bạn thích mua gì nhất ?,Mình thích mua áo quần
Bạn có thể giúp mình mua một chiếc laptop không?,Bạn mún mua laptop như thế nào
Mặc váy đi chơi được không?,Điên hả
Rảnh không đi dạo chơi?,Đang chạy deadline rồi
Lát đi ăn buffet không?,Đi liền này
Rảnh không lát đi siêu thị với tao?,Tiền đâu mà đi
"Máy tính này không biết có tốt k ha phân vân quá à, chị tư vấn giúp em với,máy tính này cấu hình ra sao vậy chị ?","Hi chị cũng k biết nó tốt k do chị k có tiền sài nhưng mà theo chị thấy thì nó cũng oke đó em, cấu hình ngon ăn, cpu hạng đỉnh, ram hạng top, card màn hình hạng chất lượng cao, màn hình siêu mỏng full hd, pin siêu trâu"
"Anh/chị ơi cho em hỏi, dòng sản phẩm limited edition bên mình còn hàng không hay đã hết rồi ạ ?","Sản phẩm Limited edition đã hết hàng, nhưng có nhiều sản phẩm khác nhìn rất đẹp, giá lại phải chăng, bạn vào xem thử nhé"
Dạ cho em xin phép hỏi mẫu sản phẩm này của bên cửa hiệu mình có giá là bao nhiêu ạ ?,"À sản phẩm này hiện đang khuyến mãi nên có giá mềm là 69 nghìn đồng, nhưng nhiều người chuộng nên có gì em tranh thủ nhé"
Chị ơi không biết là bên mình có cho phép thanh toán qua ví momo không hay phải thanh toán bằng tiền mặt ạ ?,"Chị rất tiếc rằng hệ thống bên chị vẫn chưa hỗ trợ khách hàng  thanh toán thông qua các ứng dụng hỗ trợ thanh toán, quý khách vui lòng thanh toán bằng tiền mặt ạ. Chị rất xin lỗi vì sự bất tiện này, chị sẽ báo cáo lên cấp trên để cố gắng khắc phục trong lần sao"
Chị ơi không biết là các mặt hàng ở bên cửa hiệu mình có xuất xứ từ nơi nào ạ ?,"Hàng bên cửa hàng chị là nhập từ mỹ hoặc sản xuất trực tiếp tại việt nam, trên mỗi sản phẩm đều có ghi nên em yên tâm về nguồn gốc nhé"
bạn mua cái áo này ở đâu vậy?,mình mua áo này ở shop Sóng Nhạc trên đường Nguyễn Trãi
áo này của bạn làm từ chất liệu gì vậy?,đây là áo làm từ vải cotton
đôi giày bạn đang mang của hãng nào vậy?,đôi này là của hãng Balenciaga đó
bạn thường mua máy tính ở đâu vậy?,mình mua máy tính ở Phong Vũ
bạn có biết sữa rửa mặt nào tốt hay không?,sản phẩm sữa rửa mặt ở The Body Shop rất tốt vì đó là hàng nhập từ Hàn Quốc
Mặt hàng này còn không shop?,Dạ mặt hàng này shop còn ạ
Cái áo này bao nhiêu tiền?,Cái áo này giá 200 ngàn
Size còn đủ không vậy ạ?,Size còn đầy đủ nha bạn
Nay mình có chương trình sale gì không ạ?,Hiện chưa có chương trình sale gì nha bạn
Shop có nhận thanh toán bằng thẻ ngân hang không?,Dạ shop có nha bạn
Shop có trang facebook không?,Shop có trang facebook
Shop cho mình xin tên facebook được không?,Trang facebook của mình tên MinMin Store nhé
Cái áo này vải gì vậy ạ?,Áo này vảo xô hàn chất mát lắm ạ.
Máy tính ASUS ROG có phù hợp để học tập không?,Tớ nghĩ máy tính đó phù hợp với mọi nhu cầu.
Áo thun này với size XL có hợp với người mập không?,Bạn cần size lớn hơn.
"Có nên mua thêm bàn ghế hay không, ở nhà tôi có một bộ?",Tôi nghĩ không cần mua thêm đâu.
Liệu em có thể không lấy dây phụ kiện khi mua bộ này không?,Tất nhiên là được nếu em muốn.
Cho mình hỏi giá tiền của áo polo này trên thị trường được không?,Tớ không chắc về giá tiền của áo polo này trên thị trường.
"Chào shop, bên mình có bán giày sneaker không ạ ?",Bên mình cung cấp mọi loại giày nhé bạn.
Shop tư vấn cho mình một số mẫu giày thích hợp để đi chơi được không ?,Bạn có thể tham khảo vài đôi giày của Adidas hoặc Nike.
Giữa Adidas và Nike có gì khác nhau không ạ ?,"Đây là hai hãng nổi tiếng trên thế giới, có kiểu thiết kế riêng, công nghệ và chất liệu riêng biệt."
Hãng Adidas có đôi nào mang thoải mái không ?,Bạn có thể xem qua đôi Superstar hoặc Ultrboost
Đôi Superstar tầm giá bao nhiêu ?,Một đôi có tầm giá giao động từ 1 đến 2 triệu
Địa chỉ của shop ở đâu ạ?,Hiện shop có 2 chi nhánh ở Sài Gòn và Hà Nội.
Bên mình có hỗ trợ đặt hàng từ xa không ?,Shop hỗ trợ ship toàn quốc nếu bạn ở xa nhé.
Nếu đặt online thì thanh toán như nào ?,Bạn có thể chuyển khoản ngân hàng trước hoặc có thể thanh toán trực tiếp khi nhân viên giao hàng đến.
Giao đến Nha Trang mất bao lâu ?,Trong vòng 2 đến 3 ngày hàng sẽ được giao đến
"tao định mua laptop trên tiki á, mày thấy sao ?","cũng được, bảo hành đàng hoàng, thấy cũng có nhiều người mua."
mày thấy quần hãng denim như thế nào ?,"mặc hơi nóng, tao nghĩ đừng nên mua."
mua laptop hãng gì ngon vậy mày ?,"tùy vào nhu cầu của mày, chứ tao thấy laptop văn phòng thì hãng gì cũng được."
muốn mua laptop gaming thì mua hãng gì thế ?,"asus hoặc msi, ngoài ra tao thấy giờ acer với levono hơi bị nổi."
con airpod 2 nghe hay không?,"nghe tạm được, chủ yếu nghe lúc chán thôi, chứ muốn chill thì tao chịu."
mày mua điện thoại cũ trên chợ tốt bao giờ chưa ?,"tao chưa, nhưng mà tao thấy bạn tao mua hơi bị nhiều."
mình nên mua laptop nào tốt cho học tập vậy bạn?,"có điều kiện thì mua Macbook, rẻ hơn tí thì là Dell nha"
"áo bạn đẹp ghê, bạn mua ở đâu á?",xin lỗi bạn nhưng mình quên rồi
mình học công nghệ thông tin thì nên mua máy nào bạn nhỉ?,bạn cứ mua Macbook là được nha
laptop thường bảo hành bao lâu vậy?,bảo hành chính hãng nên tùy theo nhà sản xuất nha bạn
bạn chọn giúp mình laptop tốt mà dưới 15 triệu được không?,"mình cũng không rõ nữa, bạn ra thế giới di động hỏi thử xem sao"
cái laptop này bao nhiêu vậy?,cái này giá gốc 20 triệu nhưng hiện bên em đang khuyến mãi nên còn 18 triệu thôi ạ
mình muốn mua cái laptop này cho nhu cầu thiết kế thì có ổn không?,"laptop này có cấu hình phục vụ tốt cho cả việc thiết kế và chơi game, giải trí anh nha"
laptop này bên mình bảo hành cho mình trong bao lâu?,bên em sẽ bảo hành cho mình trong vòng 2 năm ạ
áo này mình còn size khác không?,dạ áo này bên em chỉ còn mỗi size này thôi ạ
bên mình đang có chương trình khuyến mãi nào không?,dạ bên em đang có chương trình khuyến mãi tết nha anh
cho mình hỏi bạn muốn mua mặt hàng nào?,mình muốn mua laptop
bạn có nhu cầu muốn mua của hãng nào?,mình muốn mua của Dell
cụ thể bạn muốn mua loại laptop nào?,mình muốn mua laptop dòng gaming
bạn có mong muốn laptop ở mức giá nào?,mình có thể mua tầm 15-20 triệu
bạn có yêu cầu laptop có tình năng gì?,mình cần nó đủ mạnh để học IT
bạn còn có yêu cầu nào cụ thể hơn về laptop không?,mình cần mấy 8gb và ở cứng SSD
cho em hỏi quần này có giá bao nhiêu tiền vậy ạ ?,quần này có giá 250k bạn nhé
cho em hỏi dép này bền không vậy ạ ?,dép này bền lắm bạn nhé
cho em hỏi áo này có giảm giá không ?,áo này hiện tại không giảm giá á bạn
cho em hỏi áo này có bao nhiêu size vậy ạ ?,áo này hiện tại có 4 size
cho em hỏi áo này có ship tận nhà không vậy ạ ?,không bạn nhé
laptop bảo hành bao nhiêu năm vậy ạ ?,2 năm bạn nhé
tiệm của bạn có bạn máy tính không?,"à có, tiệm của mình có bán rất nhiều loại máy tính"
cái quần này size bao nhiêu bạn nhỉ?,quần này của bạn size M nha
bạn có quần này màu đỏ không?,"không, mình chỉ có màu xanh thôi"
bạn có bán bàn phím cơ không?,mình có bán rất nhiều loại bàn phím cơ
bạn có bàn phím nào rẻ hơn không?,mình không có loại nào rẻ hơn nữa
"Bạn nhân viên ơi, lần đầu mình mua sắm ở đây, có thể giúp mình không ?",Dạ mình rất sẵn lòng giúp đỡ ạ
Mình đang tìm một chiếc áo Polo có màu đen,Áo Polo màu đen mình có những mẫu sau ạ
Và mình muốn tìm thêm một chiếc quần Âu sẫm màu nữa,"Ngay phía bên này là dãy quần Âu, bạn có thể lựa"
"Mình thấy ừng chiếc quần này, để mình đi mặc thử nhé",Vâng phòng thay đồ ở phía này ạ
Bạn tính tiền cho mình cái áo này với cái quần này luôn với ạ,"Của bạn tổng cộng hết 630k, rất hân hạnh được phục vụ"
"Bạn ơi, mình muốn mua máy tính thì nên mua ở đâu đây nhỉ?","Mình nghĩ là bạn nên mua ở những thương hiệu nổi tiếng như Phong Vũ, Nguyễn Kim, ..."
"Bạn ơi, nếu mua máy tính thì nên mua máy bàn hay máy laptop để phục vụ chuyện học?","Mình nghĩ cái nào cũng sẽ đáp ứng được nhu cầu học của bạn. Máy laptop thì nhỏ gọn, tiện trong việc mang đi lại, máy bàn thì cấu hình, hiệu năng sẽ mạnh hơn máy laptop nếu đồng giá"
"Bạn ơi, có nên đặt hàng trên các thương hiệu nổi tiếng như Lazada, Tiki, Shopee không?","Theo mình nghĩ, thì sẽ là có. Đây là đều là những thương hiệu nổi tiếng có uy tín, tuy nhiên cần phải chú ý uy tín của các cửa hàng đăng ký mở trên các thương hiệu trên"
Bạn hay mua đồ dùng học tập ở đâu thế?,"Ở gần trường mình, có các tiệm đồ dùng học tập mà bạn có thể ghé qua để mua sắm đồ cần thiết nhé"
Bạn biết chỗ nào mà mình có thể mua quần áo dành cho con gái không?,"Mình thì không có, chủ yếu là mình đặt hàng online trên các cửa hàng trên các trang thương mại điện tử như Lazada, Shopee nhé"
Bạn có thể tư vấn chỗ nào mua máy tính không?,Máy tính mình mua ở GearVN
Bạn hay đo mắt kính ở đâu?,Mình đo mắt kính ở bệnh viện Điện Biên Phủ
Bạn có thể chỉ mình chỗ mua quần áo không?,Mình hay mua quần áo ở ZombieShop
Bạn mua áo khoác ở đâu vậy?,Mình mua áo khoác ở YameShop nhé
Bạn sử dụng giày của hãng nào?,Mình sử dụng giày của Bitis
Shop ở đây có bán áo phông nam không ạ? báo giá cho em luôn nhé?,"Hiện tại shop có rất nhiều mẫu áo Phông nam rất đa dạng , bạn có thể ghé shop vào thăm quan và chọn một mẫu ưng ý , giá cả phải chăng."
Cái áo Phông hình con hổ này bao nhiêu tiền?,Cái áo Phông hình con hổ  này giá 200 nghìn
Size còn hàng xl không chủ shop?,"Size xl đã hết mất tiêu rồi Khách ơi , chỉ còn size M và L thôi ạ."
Nay mình có chương trình giảm giá gì không ạ?,Hiện chưa có chương trình giảm giá cho mặt hàng hiện tại
Nếu em mua nhiều với số lượng lớn shop có giảm giá cho em không ?,Bạn mua 3 bộ quần áo trở lên shop có sẽ miễn phí tiền ship cho bạn.
"hiện tại mình cần tìm điện thoại iPhone 12 99%, không biết bên mình có sản phẩm đó không ạ?",mặt hàng này bên mình hiện tại chỉ có bán new full box thôi nha bạn ơi.
cho mình hỏi áo no copy T-shirt bên mình còn size gì và màu gì vậy shop ơi?,"hiện tại mẫu áo no copy T-shirt bên mình chỉ còn size l thôi ạ,  màu thì vẫn còn 2 mẫu đen trắng nhé bạn."
shop cho em hỏi phí ship là bao nhiêu vậy ạ?,"Dạ bạn cho shop thông tin địa chỉ với nhé, nội thành sẽ được free ship, còn ngoại thành thì bạn cho shop xin 30k tiền ship nha."
"hiện tại mình muốn tìm hiểu về mẫu giày jordan1, không biết bên mình còn những mẫu nào vậy ạ, có thể tư vấn giúp mình không ạ?","dạ chào bạn, mẫu giày jordan1 hiện tại shop còn rất nhiều mẫu và size, bạn vui lòng chọn mẫu yêu thích và cho shop xin size của mình để shop tiện trong việc tư vấn ạ."
"dạ hiện tại mình muốn tìm cáp chuyển đổi cổng cho dòng MacBook Air 2018, không biết bên mình còn mặt hàng này không ạ?","chào bạn, hiện tại mặt hàng trên bên mình vẫn còn nha bạn, bên dưới là hình ảnh cũng như giá tiền của từng mẫu. hơn nữa, bên mình còn hỗ trợ phí ship nữa nhé."
dạ cho em hỏi đây có phải là shop bán máy tính TGB không ạ ?,đúng rồi bạn
mình có thể giúp gì cho bạn được không ?,mình cần tìm mua 1 con lap cho sinh viên giá cỡ 13 14 triệu
